# Rime user dictionary
#@/db_name	FlyDP.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	102671
#@/user_id	Dell5370_Win
a 	啊	c=156 d=1.4796 t=102671
dian hua li 	电话里	c=0 d=6.67999e-20 t=102671
dian hua li mian 	电话里面	c=1 d=6.71348e-19 t=102671
dian ji 	点击	c=5 d=1.95712e-16 t=102671
dian ji 	电机	c=120 d=0.622331 t=102671
dian jia 	电价	c=12 d=7.00726e-28 t=102671
dian kong 	电控	c=5 d=0.00447164 t=102671
dian kuai 	垫块	c=6 d=0.0138427 t=102671
dian li 	典礼	c=1 d=1 t=100343
dian li 	电力	c=3 d=2.87091e-25 t=102671
dian liang 	电量	c=1 d=9.09344e-30 t=102671
dian liu 	电流	c=9 d=0.341298 t=102671
dian lu 	电路	c=1 d=4.89926e-48 t=102671
dian lu ban 	电路板	c=2 d=3.45655e-53 t=102671
dian lu tu 	电路图	c=1 d=7.30837e-106 t=102671
dian nao 	电脑	c=20 d=0.567161 t=102671
dian nao duan 	电脑端	c=2 d=3.92974e-42 t=102671
dian neng 	电能	c=4 d=7.87979e-30 t=102671
dian pu 	店铺	c=1 d=8.48299e-36 t=102671
dian qian 	垫钱	c=1 d=1.58274e-137 t=102671
dian rong 	电容	c=2 d=0.00353515 t=102671
dian shi 	电视	c=7 d=0.790571 t=102671
dian shi ji 	电视机	c=2 d=1.28888e-15 t=102671
dian ti 	电梯	c=4 d=2.35866e-07 t=102671
dian tou 	点头	c=1 d=7.02801e-87 t=102671
dian wang 	电网	c=3 d=1.29669e-25 t=102671
dian xian 	电线	c=2 d=0.00931013 t=102671
dian xin hao 	电信号	c=3 d=7.16393e-97 t=102671
dian ya 	电压	c=8 d=0.687841 t=102671
dian yi xia 	点一下	c=1 d=2.41938e-100 t=102671
dian ying 	电影	c=1 d=1.8876e-33 t=102671
dian yuan 	电源	c=3 d=1.10055e-68 t=102671
dian zhen 	点阵	c=14 d=4.96763e-17 t=102671
dian zhi shu 	电纸书	c=3 d=9.89961e-128 t=102671
dian zhong 	点钟	c=2 d=1.23112e-05 t=102671
dian zhuang 	点状	c=1 d=1 t=93636
dian zi 	电子	c=57 d=0.970446 t=102671
dian zi ban 	电子版	c=5 d=7.04163e-51 t=102671
dian zi gao 	电子稿	c=1 d=5.14766e-71 t=102671
dian zi hua 	电子化	c=2 d=7.29245e-51 t=102671
dian zi piao 	电子票	c=1 d=2.39522e-129 t=102671
dian zi shen qing 	电子申请	c=1 d=1.59734e-98 t=102671
dian zi shen qing wang 	电子申请网	c=1 d=7.29174e-138 t=102671
dian zi shou ju 	电子收据	c=1 d=1.46838e-137 t=102671
dian zi xin xi 	电子信息	c=1 d=3.76695e-103 t=102671
dian zu 	电阻	c=1 d=3.71086e-103 t=102671
diao 	掉	c=6 d=0.00433948 t=102671
diao cha 	调查	c=2 d=2.4496e-99 t=102671
diao du 	调度	c=4 d=2.69115e-29 t=102671
diao huan 	吊环	c=1 d=1 t=100457
diao huan 	调换	c=1 d=7.32978e-111 t=102671
diao luo 	掉落	c=5 d=0.398958 t=102671
diao xiao 	吊销	c=1 d=7.95971e-81 t=102671
diao yong 	调用	c=4 d=4.10796e-05 t=102671
did 	滴	c=1 d=3.47508e-66 t=102671
die dai 	迭代	c=4 d=4.84244e-28 t=102671
die jia 	叠加	c=1 d=2.8178e-70 t=102671
difd; jie 	抵接	c=10 d=0.0880985 t=102671
dig 	底	c=4 d=0.000262568 t=102671
ding ban 	顶板	c=3 d=1 t=98785
ding bu 	顶部	c=35 d=0.727115 t=102671
ding dan 	订单	c=4 d=0.000735471 t=102671
ding gao 	定稿	c=27 d=0.0638341 t=102671
ding jia 	定价	c=1 d=3.39642e-32 t=102671
ding mian 	顶面	c=1 d=7.40723e-117 t=102671
ding mo 	定模	c=3 d=2.025e-79 t=102671
ding qi 	顶起	c=3 d=1.90891 t=92799
ding ru 	钉入	c=1 d=7.7875e-59 t=102671
ding shi 	定势	c=1 d=6.9382e-24 t=102671
ding shi 	定时	c=5 d=2.12393e-09 t=102671
ding shi qi 	定时器	c=7 d=1.16273e-72 t=102671
ding wei 	定位	c=161 d=2.04674 t=102671
ding wei bjm 	定位板	c=14 d=9.99993e-88 t=102671
ding wei drl 	定位端	c=1 d=2.6016e-72 t=102671
ding wei jmr 	定位件	c=1 d=0.201897 t=102671
ding wei kong 	定位孔	c=18 d=0.0846718 t=102671
ding wei tou 	定位头	c=4 d=0.420277 t=102671
ding wei vum 	定位柱	c=22 d=1.6753 t=102671
ding wei xiao 	定位销	c=6 d=1.00868e-131 t=102671
ding wei zhong duan 	定位终端	c=1 d=1.67063e-67 t=102671
ding xiang 	定向	c=6 d=2.52086e-23 t=102671
ding xiang tian xian 	定向天线	c=2 d=1.16879e-24 t=102671
ding yi 	定义	c=7 d=1.25835e-27 t=102671
ding yue 	订阅	c=18 d=2.54895e-08 t=102671
ding zhi 	定制	c=3 d=4.08383e-16 t=102671
ding zi 	钉子	c=2 d=0.188247 t=102671
ding zuo 	定做	c=1 d=1 t=98001
dir 	低	c=13 d=0.99005 t=102671
diu 	丢	c=2 d=4.91043e-16 t=102671
diu qi 	丢弃	c=1 d=0.00562801 t=102671
diu shi 	丢失	c=1 d=0.000101546 t=102671
div 	第	c=17 d=7.73574e-10 t=102671
div yi ci 	第一次	c=1 d=1.44111e-93 t=102671
diz 	迪	c=1 d=8.49139e-77 t=102671
djb 	单	c=8 d=8.56707e-05 t=102671
dkb 	定	c=16 d=0.000829646 t=102671
dkb ziv 	定子	c=3 d=0.189191 t=102671
dkd 	顶	c=1 d=0.55612 t=92133
dkd biut 	顶壁	c=1 d=4.74557e-26 t=102671
dkd kuang jia 	顶框架	c=8 d=3.8966 t=92705
dkd ugp 	顶升	c=6 d=3.27324 t=92472
dkd ugp ji gou 	顶升机构	c=1 d=1 t=92202
dkj 	钉	c=3 d=1.08291e-74 t=102671
dko 	鼎	c=3 d=1.08054e-74 t=102671
dkw 	玎	c=1 d=0.216536 t=102671
dmf 	垫	c=4 d=0.182684 t=102671
dmg 	店	c=8 d=7.34196e-13 t=102671
dml 	电	c=12 d=5.10909e-07 t=102671
dml dvt 	电堆	c=26 d=0.000170074 t=102671
dmlv; 	电	c=6 d=7.51104e-37 t=102671
dmlv; uifl; 	电势	c=1 d=1.42284e-90 t=102671
dnk 	吊	c=2 d=1.43036e-05 t=102671
dny 	调	c=1 d=1.00659e-136 t=102671
dod 	夺	c=1 d=7.37876e-13 t=102671
dong 	动	c=1 d=0.0531307 t=102671
dong 	懂	c=1 d=2.32602e-137 t=102671
dong hua 	动画	c=2 d=1.96079 t=100060
dong ji 	动机	c=3 d=3.56813e-24 t=102671
dong jing 	动静	c=2 d=1.61437e-17 t=102671
dong li 	动力	c=4 d=8.36696e-35 t=102671
dong nao zi 	动脑子	c=1 d=8.05144e-10 t=102671
dong shi 	懂事	c=1 d=1 t=87254
dong tai 	动态	c=15 d=9.02884e-43 t=102671
dong tai mi ma 	动态密码	c=1 d=2.668e-45 t=102671
dong tai tu 	动态图	c=2 d=2.72987e-50 t=102671
dong tou 	洞头	c=0 d=1.45188e-64 t=102671
dong xi 	东西	c=20 d=0.112478 t=102671
dong yong 	动用	c=2 d=2.00762e-94 t=102671
dong zuo 	动作	c=5 d=0.00289433 t=102671
dot 	垛	c=4 d=1.19929e-70 t=102671
dou 	都	c=238 d=0.892224 t=102671
dou bu 	都不	c=0 d=0.1 t=80016
dou bu gan 	都不干	c=1 d=1 t=80017
dou bu hui 	都不会	c=1 d=1.08558e-113 t=102671
dou bu tong 	都不同	c=1 d=1 t=80624
dou dong 	抖动	c=2 d=3.65294e-122 t=102671
dou hao 	逗号	c=2 d=8.76994e-08 t=102671
dou hui 	都会	c=4 d=9.16921e-10 t=102671
dou ian 	都姹	c=1 d=1.0664e-21 t=102671
dou ke yi 	都可以	c=3 d=2.4668e-16 t=102671
dou luo 	抖落	c=1 d=3.46588e-123 t=102671
dou mei you 	都没有	c=6 d=0.358796 t=102671
dou shi 	都是	c=74 d=0.20089 t=102671
dou shi ta 	都是他	c=0 d=1.78915e-139 t=102671
dou shi ta men 	都是他们	c=1 d=1.79812e-138 t=102671
dou shuo 	都说	c=1 d=1.18757e-140 t=102671
dou xu yao 	都需要	c=2 d=0.00032718 t=102671
dou yi jing 	都已经	c=1 d=2.87286e-33 t=102671
dou yi yang 	都一样	c=2 d=7.54065e-33 t=102671
dou you 	都有	c=1 d=2.08187e-09 t=102671
dou zai 	都在	c=3 d=0.00240549 t=102671
dpi 	蝶	c=1 d=2.06833e-138 t=102671
dpi lby 	蝶霖	c=1 d=1.1691e-132 t=102671
dpy 	叠	c=1 d=0.0012684 t=102671
drl 	端	c=24 d=0.210229 t=102671
drl biut 	端壁	c=2 d=1.99005 t=97523
drmj 	断	c=1 d=2.73982e-34 t=102671
dsa 	东	c=1 d=3.33041e-07 t=102671
dsm 	栋	c=6 d=2.16978e-25 t=102671
dsx 	懂	c=2 d=8.3567e-36 t=102671
du 	度	c=6 d=1.81865e-07 t=102671
du bu qi 	读不起	c=1 d=6.38042e-38 t=102671
du che 	堵车	c=2 d=0.683861 t=102671
du chu 	读出	c=1 d=1 t=86525
du cuo 	读错	c=1 d=1 t=80476
du da 	毒打	c=1 d=2.27996e-137 t=102671
du guo 	度过	c=1 d=4.96823e-36 t=102671
du ka 	读卡	c=1 d=5.73761e-24 t=102671
du ka qi 	读卡器	c=18 d=1.75723e-09 t=102671
du lao shi 	杜老师	c=1 d=4.7306e-77 t=102671
du li 	独立	c=9 d=2.8422e-15 t=102671
du qi lai 	读起来	c=1 d=2.5175e-09 t=102671
du qu 	读取	c=18 d=1.92411e-11 t=102671
du quan 	独权	c=4 d=3.78459e-06 t=102671
du sai 	赌赛	c=1 d=1.02132e-101 t=102671
du se 	堵塞	c=3 d=1.02644e-101 t=102671
du shu 	读书	c=1 d=8.92523e-75 t=102671
du shu 	读数	c=1 d=1 t=90912
du te 	独特	c=1 d=3.73188e-140 t=102671
du yi du 	赌一赌	c=1 d=2.19838e-32 t=102671
du zi 	独自	c=1 d=1 t=100465
du zi 	肚子	c=2 d=1.61273e-05 t=102671
duan 	段	c=48 d=0.000160875 t=102671
duan 	短	c=3 d=1.379e-16 t=102671
duan bu 	端部	c=51 d=0.00314797 t=102671
duan dian 	断电	c=2 d=6.58579e-117 t=102671
duan ding 	断定	c=1 d=1.47052e-66 t=102671
duan duan xu xu 	断断续续	c=1 d=4.34733e-83 t=102671
duan gai 	端盖	c=1 d=2.24793e-147 t=102671
duan hao 	短号	c=1 d=1 t=88324
duan jian 	锻件	c=7 d=2.9046e-74 t=102671
duan kou 	端口	c=1 d=5.5175e-05 t=102671
duan lian 	锻炼	c=1 d=1 t=80085
duan lu 	短路	c=2 d=1.92777e-16 t=102671
duan luo 	段落	c=3 d=2.45819 t=88493
duan mian 	断面	c=6 d=0.12938 t=102671
duan mian 	端面	c=1 d=1 t=98876
duan tou 	端头	c=1 d=5.78406e-60 t=102671
duan wu jie 	端午节	c=1 d=2.16301e-47 t=102671
duan xin 	短信	c=3 d=1.63916e-12 t=102671
duan xiu 	短袖	c=2 d=1.9802 t=94829
duan ya 	断崖	c=1 d=6.72491e-39 t=102671
duan zan 	短暂	c=1 d=2.68029e-99 t=102671
duan zi 	段子	c=1 d=1.79585e-35 t=102671
duf 	毒	c=3 d=7.26535e-101 t=102671
dui 	对	c=213 d=0.881734 t=102671
dui bak 	对吧	c=1 d=4.53058e-10 t=102671
dui ban cai 	对板材	c=1 d=1 t=84896
dui bi 	对比	c=6 d=0.57695 t=102671
dui bi fjm 	对比樊	c=1 d=5.8681e-112 t=102671
dui bi qi 	对比起	c=1 d=1.98967e-123 t=102671
dui bi wen jian 	对比文件	c=42 d=0.173774 t=102671
dui bu qi 	对不起	c=1 d=1.99964e-123 t=102671
dui bu shang 	对不上	c=1 d=4.32905e-151 t=102671
dui chen 	对称	c=16 d=0.000750328 t=102671
dui cheng 	对成	c=1 d=1 t=88174
dui die 	堆叠	c=1 d=5.89006e-09 t=102671
dui dit 	对地	c=1 d=5.59214e-16 t=102671
dui fang 	对方	c=6 d=2.12386e-14 t=102671
dui gong 	对公	c=3 d=1.32001e-51 t=102671
dui hua 	对话	c=1 d=1.69732e-77 t=102671
dui ji 	堆积	c=5 d=2.21341 t=99058
dui jiao xian 	对角线	c=1 d=7.1422e-12 t=102671
dui jie 	对接	c=3 d=4.12209e-16 t=102671
dui mian 	对面	c=1 d=2.22381e-79 t=102671
dui ni 	对你	c=3 d=2.10487e-50 t=102671
dui qi 	对齐	c=3 d=0.092089 t=102671
dui shou 	对手	c=1 d=2.84128e-50 t=102671
dui ta 	对他	c=1 d=6.39761e-99 t=102671
dui wo 	对我	c=1 d=1.88063e-107 t=102671
dui wo men 	对我们	c=1 d=1.32057e-36 t=102671
dui xiang 	对象	c=5 d=0.0810432 t=102671
dui yi xia 	对一下	c=1 d=3.26283e-148 t=102671
dui ying 	对应	c=86 d=0.140156 t=102671
dui yu 	对于	c=32 d=0.0133665 t=102671
dui zhao 	对照	c=2 d=3.04325e-05 t=102671
dui zhe 	对着	c=1 d=2.15281e-109 t=102671
dui zheng 	对症	c=1 d=1.34007e-32 t=102671
dui zhun 	对准	c=1 d=1.39339e-138 t=102671
duk 	赌	c=5 d=1.11241e-18 t=102671
dum 	杜	c=1 d=5.71501e-07 t=102671
dumt 	杜	c=4 d=7.33358e-19 t=102671
dun bu 	墩布	c=1 d=2.5206e-141 t=102671
dun cheng 	顿成	c=1 d=1 t=99778
dun hao 	顿号	c=4 d=1 t=89095
dun jiao 	钝角	c=1 d=2.42869e-57 t=102671
duo 	多	c=73 d=0.00346203 t=102671
duo ban 	多半	c=1 d=5.56614e-20 t=102671
duo ban ben 	多版本	c=1 d=0.000142667 t=102671
duo ceng 	多层	c=3 d=3.49e-87 t=102671
duo chang 	多長	c=1 d=2.14155e-18 t=102671
duo ci 	多次	c=2 d=1.91118e-32 t=102671
duo dao 	多道	c=1 d=1.18065e-130 t=102671
duo gao 	多高	c=1 d=1.70514e-131 t=102671
duo ge 	多个	c=67 d=0.512831 t=102671
duo gfm 	多根	c=1 d=4.0714e-135 t=102671
duo gong neng 	多功能	c=3 d=0.946485 t=102671
duo guan 	夺冠	c=4 d=1.00002 t=85516
duo guang gao 	多广告	c=1 d=1 t=88736
duo guo 	多国	c=5 d=8.12518e-29 t=102671
duo ji 	多级	c=3 d=8.15556e-102 t=102671
duo jiu 	多久	c=17 d=1.40906e-05 t=102671
duo le 	多了	c=1 d=1.02871e-127 t=102671
duo lei xing 	多类型	c=1 d=6.94056e-28 t=102671
duo ming ling 	多命令	c=1 d=2.67374e-129 t=102671
duo nian 	多年	c=2 d=4.98895e-47 t=102671
duo ren 	多人	c=1 d=9.66067e-36 t=102671
duo shao 	多少	c=22 d=0.000958635 t=102671
duo shao bian 	多少遍	c=1 d=3.24897e-98 t=102671
duo shao qian 	多少钱	c=12 d=3.26391e-05 t=102671
duo shu 	多数	c=2 d=5.50103e-58 t=102671
duo yi dian 	多一点	c=1 d=0.115903 t=102671
duo yi ge 	多一个	c=1 d=2.80127e-89 t=102671
duo yi xie 	多一些	c=1 d=1.46353e-10 t=102671
duo zhong 	多种	c=8 d=0.00540733 t=102671
duo zuo dian 	多做点	c=1 d=5.87728e-101 t=102671
dut 	堵	c=1 d=1.81519e-14 t=102671
duy 	读	c=2 d=2.33559e-09 t=102671
dvb 	兑	c=1 d=0.116484 t=102671
dvt mau 	堆码	c=1 d=1 t=82041
dyh 	炖	c=1 d=6.57053e-148 t=102671
dyz 	蹲	c=5 d=5.01048e-18 t=102671
dzd; tu 	斗图	c=1 d=9.68309e-122 t=102671
dzf 	抖	c=2 d=5.61657e-126 t=102671
e lie 	恶劣	c=1 d=1 t=87413
e luo si 	俄罗斯	c=4 d=0.0154627 t=102671
e wai 	额外	c=8 d=1.44022e-27 t=102671
e xin 	恶心	c=2 d=7.83504e-13 t=102671
e yi 	恶意	c=2 d=7.38301e-104 t=102671
eez 	遏	c=1 d=2.4835e-143 t=102671
en 	恩	c=278 d=2.62136 t=102671
en shan 	恩山	c=2 d=0.67368 t=102671
enbd 	奀	c=1 d=5.68982e-102 t=102671
er 	二	c=18 d=2.3664e-16 t=102671
er 	儿	c=1 d=1 t=89490
er 	而	c=130 d=0.318322 t=102671
er 	耳	c=3 d=2.86953e-41 t=102671
er bei 	而被	c=1 d=6.33934e-109 t=102671
er bjm 	耳板	c=2 d=1.97045 t=81301
er bu hui 	而不会	c=2 d=0.00873865 t=102671
er bu shi 	而不是	c=5 d=0.000724521 t=102671
er bu xu yao 	而不需要	c=1 d=1.39154e-93 t=102671
er cheng 	而成	c=13 d=5.72088e-07 t=102671
er ci 	二次	c=1 d=1.52533e-26 t=102671
er fei 	而非	c=1 d=1 t=93800
er guo 	而过	c=1 d=1.51226e-13 t=102671
er ji 	二级	c=2 d=3.83847e-89 t=102671
er ji 	耳机	c=25 d=4.39778e-07 t=102671
er ji guan 	二极管	c=1 d=1.89211e-61 t=102671
er ji xian 	耳机线	c=1 d=1.30881e-19 t=102671
er jian 	而建	c=0 d=1.01074e-09 t=102671
er ke 	儿科	c=2 d=8.1701e-18 t=102671
er lai 	二来	c=3 d=5.46353e-07 t=102671
er lai 	而来	c=1 d=1 t=91654
er qia 	二價	c=1 d=9.86286e-15 t=102671
er qie 	而且	c=66 d=1.03716 t=102671
er shen 	二审	c=7 d=0.467666 t=102671
er sheng 	而生	c=1 d=1 t=91661
er shi 	而是	c=5 d=2.50103e-20 t=102671
er shou 	二手	c=1 d=9.88375e-128 t=102671
er tong 	儿童	c=1 d=1.53784e-122 t=102671
er wa 	二娃	c=1 d=2.29544e-99 t=102671
er wei 	二位	c=1 d=1.09277e-73 t=102671
er wei 	二维	c=1 d=1.10928e-73 t=102671
er wei ma 	二维码	c=17 d=0.19398 t=102671
er yan 	而言	c=1 d=6.2115e-134 t=102671
er zai 	而在	c=2 d=1.7254e-110 t=102671
er zhe 	二者	c=27 d=0.0493291 t=102671
er zhi hua 	二值化	c=5 d=6.43226e-70 t=102671
erdx 	尔	c=1 d=6.87925e-100 t=102671
erp 	儿	c=1 d=1 t=94343
ev 	ev:	c=2 d=0.19704 t=102671
ev yhm 	ev:杨	c=1 d=1 t=81128
fa biao 	发表	c=8 d=0.103386 t=102671
fa biao mei you 	发表没有	c=1 d=8.08774e-151 t=102671
fa cai shu 	发财树	c=1 d=1.14512e-06 t=102671
fa chu 	发出	c=1 d=8.59718e-105 t=102671
fa cuo 	发错	c=2 d=1.04632e-62 t=102671
fa dong ji 	发动机	c=4 d=1.54199e-35 t=102671
fa ge 	发个	c=2 d=5.8585e-34 t=102671
fa gei 	发给	c=7 d=4.49941e-17 t=102671
fa gei ni 	发给你	c=12 d=0.810584 t=102671
fa gei nin 	发给您	c=9 d=1.36975e-25 t=102671
fa gei ta 	发给他	c=1 d=3.61763e-39 t=102671
fa gei wo 	发给我	c=20 d=0.0338776 t=102671
fa gei wo men 	发给我们	c=2 d=1.23259e-19 t=102671
fa guo lai 	发过来	c=1 d=0.0645703 t=102671
fa guo qu 	发过去	c=1 d=1.5898e-13 t=102671
fa huang 	发黄	c=1 d=1.15663e-06 t=102671
fa hui 	发挥	c=1 d=4.81944e-90 t=102671
fa huo 	发货	c=1 d=2.33402e-148 t=102671
fa kan 	发刊	c=1 d=6.59378e-72 t=102671
fa kuan 	罚款	c=1 d=1.31788e-12 t=102671
fa lai 	发来	c=1 d=2.62811e-103 t=102671
fa lan 	法兰	c=6 d=2.04516e-35 t=102671
fa lv 	法律	c=1 d=1.26203e-32 t=102671
fa men 	阀门	c=3 d=9.49297e-125 t=102671
fa ming 	发明	c=246 d=1.96415 t=102671
fa ming chu gao 	发明初稿	c=3 d=1.35543e-19 t=102671
fa ming dian 	发明点	c=1 d=1.02836e-123 t=102671
fa ming ren 	发明人	c=67 d=0.918512 t=102671
fa ming zhuan li 	发明专利	c=1 d=2.89021e-45 t=102671
fa piao 	发票	c=69 d=0.814647 t=102671
fa qu 	发去	c=1 d=2.64128e-103 t=102671
fa re 	发热	c=4 d=6.85054e-27 t=102671
fa ren 	法人	c=8 d=1.12416e-10 t=102671
fa ren vgy 	法人证	c=4 d=2.15082e-10 t=102671
fa shao 	发烧	c=0 d=4.01472e-30 t=102671
fa sheng 	发生	c=8 d=0.377192 t=102671
fa sheng guo 	发生过	c=1 d=1.11842e-140 t=102671
fa song 	发送	c=22 d=0.000353209 t=102671
fa wu 	法务	c=1 d=5.67454e-41 t=102671
fa xian 	发现	c=9 d=1.2601e-14 t=102671
fa xian 	法线	c=5 d=3.1732e-70 t=102671
fa xin xi 	发信息	c=1 d=1.06292e-12 t=102671
fa xue 	法学	c=1 d=5.97786e-36 t=102671
fa zhan 	发展	c=2 d=1.56719e-21 t=102671
fads; 	法	c=13 d=1.51958e-11 t=102671
fads; kcl 	法考	c=2 d=7.84572e-29 t=102671
fads; xlp 	法向	c=1 d=1 t=97691
fam 	阀	c=3 d=3.44248e-15 t=102671
fam; kkt 	阀块	c=4 d=6.00567e-142 t=102671
fan chong 	反冲	c=1 d=1 t=94024
fan ci 	凡此	c=1 d=5.19055e-51 t=102671
fan fan 	翻翻	c=1 d=1.06847e-132 t=102671
fan gai 	翻盖	c=1 d=4.16764e-57 t=102671
fan guo lai 	反过来	c=1 d=1 t=85236
fan hui 	返回	c=12 d=0.548812 t=102671
fan kan 	翻看	c=1 d=1 t=79105
fan kui 	反馈	c=30 d=0.440265 t=102671
fan kui liv 	反馈力	c=23 d=1.43699e-78 t=102671
fan kui liv bian hua 	反馈力变化	c=1 d=1.22149e-89 t=102671
fan li 	返利	c=1 d=1.34496e-16 t=102671
fan shang 	翻上	c=1 d=7.45419e-15 t=102671
fan sheng 	反生	c=1 d=2.5327e-21 t=102671
fan shi 	凡事	c=1 d=0.980199 t=102671
fan suo 	繁琐	c=2 d=3.07635e-44 t=102671
fan ti 	繁体	c=2 d=0.980199 t=102671
fan tui li 	反推力	c=4 d=1.1777e-96 t=102671
fan wei 	范围	c=23 d=0.254093 t=102671
fan wei nei 	范围内	c=1 d=0.247833 t=102671
fan xiang 	反向	c=22 d=1.36765e-07 t=102671
fan xiang 	反响	c=1 d=4.98145e-126 t=102671
fan ye 	翻页	c=4 d=1.36448e-07 t=102671
fan yi 	翻译	c=1 d=5.50179e-89 t=102671
fan zhe 	泛着	c=1 d=1.45401e-139 t=102671
fan zheng 	反正	c=7 d=4.54636e-15 t=102671
fan zhuan 	反转	c=4 d=1.12531e-112 t=102671
fan zhuan 	翻转	c=1 d=1 t=93187
fang 	放	c=9 d=8.11055e-07 t=102671
fang 	方	c=6 d=4.46791e-08 t=102671
fang an 	方案	c=116 d=3.0594 t=102671
fang an li mian 	方案里面	c=1 d=5.2649e-130 t=102671
fang bao 	防爆	c=1 d=1.14314e-15 t=102671
fang bian 	方便	c=109 d=1.84743 t=102671
fang chan zheng 	房产证	c=1 d=1.9858e-12 t=102671
fang chu lai 	放出来	c=1 d=4.65715e-40 t=102671
fang chui xing 	纺锤形	c=2 d=1.59436e-64 t=102671
fang da 	放大	c=9 d=4.9458e-25 t=102671
fang da jie gou shi yi tu 	放大结构示意图	c=1 d=1 t=87294
fang dai 	房贷	c=1 d=3.75555e-38 t=102671
fang dao 	放到	c=7 d=2.5358e-06 t=102671
fang dian 	放电	c=1 d=9.81502e-46 t=102671
fang fa 	方法	c=108 d=0.738231 t=102671
fang hu 	防护	c=7 d=2.69756e-06 t=102671
fang hu ce 	防护侧	c=12 d=2.96109 t=99962
fang hu fu 	防护服	c=1 d=1.91236e-98 t=102671
fang hu zhao 	防护罩	c=19 d=1.20335 t=99886
fang jia 	房价	c=2 d=2.08861e-47 t=102671
fang jia 	放假	c=21 d=8.67557e-06 t=102671
fang jin qu 	放进去	c=1 d=3.98425e-57 t=102671
fang mian 	方面	c=8 d=3.94296e-09 t=102671
fang qi 	放弃	c=3 d=1.42983e-30 t=102671
fang qi lai 	放起来	c=1 d=9.19294e-11 t=102671
fang ru 	放入	c=5 d=0.73775 t=102671
fang she 	放射	c=6 d=1.53904e-97 t=102671
fang shi 	方式	c=36 d=0.704688 t=102671
fang wei 	方位	c=10 d=1.31985e-05 t=102671
fang wei 	防伪	c=1 d=8.3607e-71 t=102671
fang wen 	访问	c=7 d=0.0385808 t=102671
fang wu 	房屋	c=1 d=2.01581e-12 t=102671
fang xia 	放下	c=1 d=4.9804e-06 t=102671
fang xiang 	方向	c=149 d=0.58204 t=102671
fang xiang pan 	方向盘	c=2 d=3.14318e-14 t=102671
fang xiang shang 	方向上	c=5 d=6.34586e-06 t=102671
fang xing 	方形	c=1 d=0.196912 t=102671
fang xiu 	防锈	c=3 d=7.56495e-150 t=102671
fang zai 	放在	c=12 d=0.0116203 t=102671
fang zhen 	仿真	c=1 d=1 t=84930
fang zhi 	放置	c=30 d=0.510043 t=102671
fang zhi 	防止	c=7 d=0.712795 t=102671
fang zhi zai 	放置在	c=1 d=0.0399551 t=102671
fang zhu si hai 	放诸四海	c=1 d=3.94675e-34 t=102671
fang zi 	房子	c=8 d=2.11916e-12 t=102671
fav 	发	c=43 d=0.927743 t=102671
fav gei o 	发给哦	c=1 d=1.08167e-100 t=102671
fav ka 	发卡	c=38 d=1.55107 t=102671
fav yi bian 	发一遍	c=1 d=3.43301e-11 t=102671
faw 	珐	c=1 d=2.65478e-16 t=102671
fei 	费	c=35 d=0.798772 t=102671
fei 	非	c=10 d=0.00348252 t=102671
fei 	飞	c=1 d=1.35571e-139 t=102671
fei bu 	肺部	c=1 d=2.13784e-27 t=102671
fei chang 	非常	c=9 d=1.89185e-30 t=102671
fei chang hao 	非常好	c=2 d=8.46253e-37 t=102671
fei fei 	菲菲	c=6 d=0.000149233 t=102671
fei ge 	飞歌	c=1 d=4.99807e-77 t=102671
fei jian 	飞溅	c=1 d=1 t=98609
fei jin lai 	飞进来	c=1 d=4.2259e-132 t=102671
fei jmd 	费减	c=44 d=0.744532 t=102671
fei jmd cheng gong 	费减成功	c=1 d=1 t=83155
fei jmd tiao jian 	费减条件	c=1 d=1 t=79902
fei ke 	非可	c=1 d=1.12823e-37 t=102671
fei ling 	非零	c=1 d=4.17163e-127 t=102671
fei lv 	费率	c=2 d=1.23385e-31 t=102671
fei qi 	废弃	c=1 d=2.40329e-51 t=102671
fei qi lai 	飞起来	c=1 d=4.33288e-132 t=102671
fei qi wu 	废弃物	c=3 d=8.72977e-71 t=102671
fei shi fei li 	费时费力	c=1 d=1 t=98679
fei shui 	废水	c=4 d=0.0169001 t=102671
fei si ji shang 	非死即伤	c=1 d=1.67563e-14 t=102671
fei xian 	飞线	c=1 d=4.45497e-106 t=102671
fei ya 	非亚	c=1 d=1 t=89408
fei yang 	飞扬	c=1 d=3.07867e-141 t=102671
fei yong 	费用	c=103 d=0.763379 t=102671
fei you 	非有	c=1 d=1 t=89409
fei zheng chang 	非正常	c=50 d=0.00516009 t=102671
fei zu e 	费足额	c=1 d=1 t=85154
fen 	分	c=10 d=3.29485e-08 t=102671
fen bei 	分贝	c=1 d=8.06326e-86 t=102671
fen bi 	粉笔	c=1 d=1.08846e-56 t=102671
fen bian lv 	分辨率	c=8 d=0.677057 t=102671
fen bie 	分别	c=110 d=1.44894 t=102671
fen bu 	分布	c=13 d=0.795929 t=102671
fen bu qing 	分不清	c=1 d=1.46328e-08 t=102671
fen chen 	粉尘	c=2 d=1.10491e-56 t=102671
fen cheng 	分成	c=4 d=1.64569 t=102671
fen chu lai 	分出来	c=1 d=3.32238e-08 t=102671
fen dao 	分到	c=1 d=1 t=84450
fen ge 	分隔	c=8 d=0.00970611 t=102671
fen gong 	分工	c=2 d=1 t=91648
